sample_idx,atom_idx,element,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
93,1,Re,-3.96698,-10.845184,-20.100494,-16.413727,-1.5146105,-0.7401608,-0.62741154,-0.76748085
94,3,Rh,-3.0256958,-8.861816,-19.317505,-15.16745,0.5982349,0.5960452,1.398052,0.6096388
94,1,Rh,-3.02536,-8.8611145,-19.32019,-15.184937,0.5989884,0.5965181,1.3911049,0.5903164
95,2,Rh,-3.017746,-8.845688,-19.312454,-15.166092,0.61607945,0.60691106,1.4111172,0.6111394
95,3,Rh,-3.017746,-8.845688,-19.310593,-15.156418,0.61607945,0.60691106,1.4159328,0.62182915
95,4,Rh,-3.0174713,-8.845261,-19.310806,-15.150925,0.61669594,0.6071989,1.4153802,0.62789905
96,1,Rh,-3.0217285,-8.853119,-19.316803,-15.176971,0.60714006,0.60190475,1.3998678,0.5991177
96,3,Rh,-3.0219116,-8.853546,-19.317902,-15.161987,0.60672903,0.6016169,1.3970257,0.615675
96,2,Rh,-3.0219116,-8.853546,-19.31366,-15.169159,0.60672903,0.6016169,1.4079989,0.6077504
97,1,Rh,-3.0376282,-8.887054,-19.326263,-15.203369,0.571451,0.5790422,1.375395,0.5699486
98,3,Ru,-3.366516,-9.327484,-19.435486,-15.479065,-0.16678447,0.28232226,1.0928549,0.26530832
98,1,Ru,-3.367035,-9.328125,-19.44281,-15.482056,-0.16794898,0.28189048,1.0739083,0.2620036
99,4,Ru,-3.3590698,-9.319305,-19.42984,-15.462982,-0.1500702,0.2878323,1.1074595,0.28307956
99,2,Ru,-3.3588562,-9.318878,-19.435333,-15.466461,-0.1495907,0.28812012,1.0932497,0.2792353
99,3,Ru,-3.3588562,-9.318909,-19.434052,-15.465027,-0.1495907,0.2880996,1.0965652,0.28082022
100,3,Ru,-3.3641052,-9.323517,-19.436432,-15.475525,-0.16137289,0.28499505,1.0904076,0.26922002
100,2,Ru,-3.3640747,-9.323517,-19.433105,-15.477264,-0.16130438,0.28499505,1.0990125,0.2672979
100,1,Ru,-3.3641663,-9.323975,-19.44217,-15.478638,-0.16150989,0.28468663,1.0755662,0.26578042
101,1,Ru,-3.3735962,-9.326965,-19.445312,-15.485962,-0.18267669,0.28267178,1.067435,0.25768727
102,1,Ru,-3.7014542,-9.578644,-20.220947,-16.067139,-0.91860026,0.11311458,-0.9390031,-0.38450548
103,5,Au,-2.6381836,-8.564072,-19.304321,-14.525528,1.4680609,0.7966375,1.4321557,1.3189542
104,1,Ru,-3.9968567,-9.681641,-20.447449,-16.235107,-1.581673,0.043725047,-1.5249248,-0.5701088
105,5,Ti,-3.64151,-12.589996,-20.199707,-17.17334,-0.7840471,-1.9156505,-0.8840582,-1.6068434
106,3,Ru,-3.6035461,-9.434601,-19.93428,-15.83255,-0.69883186,0.21015714,-0.19744362,-0.12528811
106,1,Ru,-3.6037292,-9.435104,-19.962906,-15.867111,-0.6992429,0.2098179,-0.271493,-0.16347775
107,3,Ru,-3.6268463,-9.4557495,-19.989578,-15.868011,-0.75113237,0.19590914,-0.34048995,-0.16447254
107,2,Ru,-3.6268463,-9.4557495,-19.989197,-15.913025,-0.75113237,0.19590914,-0.33950317,-0.21421178
107,4,Ru,-3.626831,-9.455612,-19.953217,-15.852768,-0.75109816,0.19600166,-0.24642831,-0.14762862
108,3,Ru,-3.6024323,-9.434219,-19.949097,-15.831894,-0.69633156,0.21041413,-0.23577088,-0.124563105
108,2,Ru,-3.602417,-9.434219,-19.927795,-15.854233,-0.69629735,0.21041413,-0.18066804,-0.14924726
108,1,Ru,-3.5905914,-9.421722,-19.95932,-15.852631,-0.6697532,0.2188334,-0.26221707,-0.14747688
109,1,Ru,-3.631256,-9.487762,-19.95192,-15.896591,-0.7610308,0.17434186,-0.2430732,-0.19605273
110,1,Sc,-3.3517761,-12.366913,-19.968628,-17.020416,-0.13369846,-1.7653579,-0.28629497,-1.4378648
110,3,Sc,-3.3517761,-12.366928,-20.002243,-17.023956,-0.13369846,-1.7653681,-0.37325168,-1.4417765
111,1,Sc,-3.346405,-12.381531,-19.964111,-17.00821,-0.121642284,-1.775206,-0.2746113,-1.4243761
111,2,Sc,-3.3470612,-12.380707,-20.037567,-17.030212,-0.12311506,-1.7746509,-0.46462923,-1.4486895
111,3,Sc,-3.3470612,-12.380707,-20.012604,-17.014862,-0.12311506,-1.7746509,-0.40005314,-1.4317275
112,1,Sc,-3.347351,-12.355072,-19.988113,-17.013931,-0.12376582,-1.7573806,-0.33670065,-1.430699
113,1,Ti,-3.6934204,-12.66983,-20.219482,-17.346497,-0.90056735,-1.969435,-0.9352138,-1.7981793
113,3,Ti,-3.6934814,-12.667206,-20.241455,-17.295807,-0.9007044,-1.9676669,-0.9920534,-1.7421678
114,2,Ti,-3.6777954,-12.72876,-20.267944,-17.35205,-0.86549485,-2.0091362,-1.0605767,-1.8043166
114,3,Ti,-3.6777954,-12.728821,-20.2583,-17.371216,-0.86549485,-2.0091772,-1.0356305,-1.8254937
114,4,Ti,-3.677826,-12.728668,-20.267273,-17.366333,-0.86556333,-2.0090744,-1.0588399,-1.8200983
115,1,Ti,-3.6828613,-12.7099,-20.252197,-17.298004,-0.876866,-1.9964302,-1.0198417,-1.7445958
115,3,Ti,-3.6819458,-12.733856,-20.277344,-17.382935,-0.874811,-2.0125697,-1.0848914,-1.8384428
115,2,Ti,-3.6819763,-12.733612,-20.279053,-17.383362,-0.8748795,-2.0124052,-1.0893123,-1.8389149
116,1,Ti,-3.7014465,-12.553467,-20.174805,-17.220978,-0.91858315,-1.8910403,-0.8196399,-1.6594827
117,1,Ti,-4.2013397,-11.858505,-19.485107,-16.580048,-2.040664,-1.4228408,0.96449214,-0.9512632
118,1,Ti,-4.2374573,-11.878235,-19.479843,-16.58844,-2.121735,-1.4361328,0.97810996,-0.9605366
119,4,Cu,-3.8181458,-9.7408905,-20.037857,-15.459427,-1.180531,0.003808072,-0.4653792,0.28700814
120,4,Cu,-3.9031067,-9.766312,-20.063461,-15.490555,-1.3712379,-0.013318294,-0.5316131,0.25261217
121,6,Cu,-3.1823425,-9.830917,-19.808456,-15.829239,0.24661918,-0.056843523,0.12804207,-0.12162933
