sample_idx,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
112,-3.3218994140625,-12.180191040039062,-17.200210571289062,-16.3607177734375,-0.4401773161736761,-1.6417339242460314,0.0863799250318527,-0.9873417437157691
113,-3.6366424560546875,-12.618896484375,-18.119873046875,-16.811279296875,-1.0584441981632962,-1.8923756388855109,-0.5771843620171093,-1.2983531778476687
114,-3.6176960468292236,-12.6768798828125,-18.16522216796875,-16.826833724975586,-1.0212267356815752,-1.9255027828328526,-0.6099051242594732,-1.3090900134162207
115,-3.6211345195770264,-12.67381763458252,-18.169790267944336,-16.824066162109375,-1.0279811147812188,-1.9237532555431336,-0.6132011465327933,-1.3071796334763104
116,-3.649200439453125,-12.505401611328125,-18.127716064453125,-16.779388427734375,-1.0831125282101985,-1.8275336134433193,-0.5828433363753108,-1.2763397025924643
117,-3.41424560546875,-11.758407592773438,-17.1588134765625,-15.838485717773438,-0.6215779643436078,-1.4007601050374998,0.11624918073963644,-0.6268579204577002
118,-3.427947998046875,-11.779190063476562,-17.14471435546875,-15.837051391601562,-0.6484943196074211,-1.4126335708417839,0.12642212297111163,-0.6258678407093801
119,-2.87127685546875,-9.57989501953125,-18.001312255859375,-15.09375,0.4450050932371668,-0.15612971858857233,-0.4916391659797043,-0.1127853430506419
120,-2.9024200439453125,-9.602294921875,-18.049728393554688,-15.12164306640625,0.38382883366763104,-0.16892725735559802,-0.5265728734477463,-0.1320392343264856
121,-2.9086456298828125,-9.708572387695312,-17.704727172851562,-15.189102172851562,0.37159957648763564,-0.22964582514329146,-0.2776440597533156,-0.17860458078737448
122,-3.5894775390625,-9.225616455078125,-18.273681640625,-15.696441650390625,-0.9657955855570075,0.046277130929685585,-0.6881619136332022,-0.5288084270841614
123,-3.07159423828125,-11.49365234375,-17.868927001953125,-15.926788330078125,0.05151075926907979,-1.2494998222400455,-0.3961192019101386,-0.6878110215590719
124,-2.438232421875,-11.369705200195312,-17.536300659179688,-15.508575439453125,1.295657835316258,-1.1786861932178727,-0.15611923686259796,-0.39912904558077666
125,-3.4425048828125,-8.101943969726562,-17.570632934570312,-14.662338256835938,-0.677089200366528,0.6882550276207886,-0.18089101177690442,0.18500747316485505
126,-3.573272705078125,-12.19904613494873,-17.80377769470215,-16.477731704711914,-0.9339635484855489,-1.6525062394266712,-0.3491120065908072,-1.0681135555238745
127,-3.596405029296875,-11.798660278320312,-17.611419677734375,-16.324188232421875,-0.9794036315367083,-1.4237573170725228,-0.2103198803751005,-0.9621263084234444
128,-3.574920654296875,-12.010498046875,-16.3013916015625,-15.804672241210938,-0.9372007047979006,-1.544784722183298,0.7349049922883957,-0.6035173170292157
129,-3.576141357421875,-12.03058910369873,-16.324188232421875,-15.808268547058105,-0.9395985983626056,-1.5562631685901835,0.7184565337452963,-0.6059997576747712
130,-3.576202392578125,-12.0252685546875,-16.318105697631836,-15.81267261505127,-0.9397184930408409,-1.5532234262204103,0.7228452665342808,-0.6090397764764618
131,-2.3546600341796875,-8.162124633789062,-16.565292358398438,-13.342803955078125,1.4598236234898727,0.6538725392712319,0.5444926157804267,1.0958492433295892
132,-2.357938051223755,-8.161686897277832,-16.574975967407227,-13.342819213867188,1.4533844362591835,0.6541226274138606,0.5375055990448748,1.0958387105663092
133,-2.3426513671875,-8.158790588378906,-16.532203674316406,-13.318260192871094,1.4834129014326578,0.655777350048204,0.5683671019589484,1.1127911930654724
134,-2.4461669921875,-8.1251220703125,-16.45538330078125,-13.3905029296875,1.2800715271456757,0.6750128877113117,0.6237953245394265,1.062923825316303
135,-2.425994873046875,-8.1361083984375,-16.440338134765625,-13.383026123046875,1.3196967183024255,0.6687361657002365,0.6346508667907625,1.0680848793235038
136,-3.522552490234375,-12.65869140625,-17.9952392578125,-16.6812744140625,-0.834331070872057,-1.915111320836739,-0.48725731423930696,-1.2086140347020515
137,-2.6004791259765625,-7.7797393798828125,-16.29019546508789,-13.31637954711914,0.9769478068974076,0.8723373359344907,0.7429833433298946,1.1140893561397327
138,-2.59302020072937,-7.775487422943115,-16.28553009033203,-13.313076972961426,0.9915997795872113,0.8747665690149056,0.7463495522988053,1.116369041092148
139,-2.588043212890625,-7.770164489746094,-16.27874755859375,-13.304496765136719,1.0013763475878394,0.877807673520532,0.7512433540540983,1.1222917455440342
140,-2.5905990600585938,-7.780128479003906,-16.28626251220703,-13.309333801269531,0.9963557579367385,0.8721150353632651,0.7458210877673,1.1189528595842737
141,-2.9614181518554688,-8.039817810058594,-17.520339965820312,-14.276573181152344,0.26793564031848355,0.7237490188264734,-0.14460311394688038,0.451291528028226
142,-2.9555766582489014,-8.01800537109375,-17.52522850036621,-14.27947998046875,0.2794104040350532,0.7362109273192957,-0.14813033945273413,0.4492850366233856
143,-2.6988983154296875,-7.3447265625,-16.369415283203125,-13.525543212890625,0.7836176382430686,1.120869374564692,0.6858238489248498,0.9697088702882851
144,-2.9405517578125,-8.009140014648438,-17.508224487304688,-14.25787353515625,0.30892463344015925,0.7412758932754551,-0.13586142982156513,0.46419942942786846
145,-2.984893798828125,-8.00860595703125,-17.54986572265625,-14.3114013671875,0.22182114970225092,0.741581011706549,-0.16590684037318396,0.4272504958416214
146,-2.4481964111328125,-7.41082763671875,-15.993858337402344,-13.045455932617188,1.2760850290943537,1.0831044304647224,0.9567995422930132,1.3011012013669885
147,0.0,0.0,0.0,0.0,6.085210441457983,5.317067263035548,12.496851992577813,10.30605556931487
